layer,count,mean,variance,std,min,max,zero_ratio,sample_count
init_conv.0.conv,3840000,1.0780479949288206,0.8550355953401925,0.9246813480005923,-1.9295316934585571,2.640000104904175,0.0,1024
init_conv.1.conv,40960000,0.3890859375,0.6791160394897462,0.8240849710374205,0.0,8.0,0.752719140625,1024
init_conv.2.conv,81920000,0.2594453125,0.28267602044677737,0.5316728509589119,0.0,8.0,0.779448828125,1024
downsample_1.conv3x3.conv,20480000,0.186171484375,0.2357202565306091,0.4855103052774566,0.0,8.0,0.849007421875,1024
DAB_Block_1.DAB_Module_1_0.conv1x1_in.conv,10240000,0.1630796875,0.20570345302490237,0.4535454255362988,0.0,8.0,0.86496796875,1024
DAB_Block_1.DAB_Module_1_0.conv3x1.conv,5120000,0.029188692760467528,0.1362505621114991,0.36912133792494184,-3.565093994140625,3.975006103515625,0.4818390625,1024
DAB_Block_1.DAB_Module_1_0.conv1x3.conv,5120000,0.1899671875,0.18081403017333986,0.425222330285393,0.0,4.0,0.8228453125,1024
DAB_Block_1.DAB_Module_1_0.dconv3x1.conv,5120000,0.2844953125,0.2854952296655273,0.5343175363634692,0.0,4.0,0.7538140625,1024
DAB_Block_1.DAB_Module_1_0.dconv1x3.conv,5120000,0.2835046875,0.6079547796655274,0.7797145501178796,0.0,8.0,0.8639953125,1024
DAB_Block_1.DAB_Module_1_0.ddconv3x1.conv,5120000,0.2844953125,0.2854952296655273,0.5343175363634692,0.0,4.0,0.7538140625,1024
DAB_Block_1.DAB_Module_1_0.ddconv1x3.conv,5120000,0.21546875,0.4386107177734375,0.6622769192516357,0.0,8.0,0.880228125,1024
DAB_Block_1.DAB_Module_1_0.conv1x1.conv,5120000,0.7023671875,1.6143412714233398,1.2705673029884486,0.0,9.0,0.6569984375,1024
downsample_2.conv3x3.conv,10240000,0.16140625,0.17071989746093752,0.41318264419132794,0.0,5.0,0.85486640625,1024
DAB_Block_2.DAB_Module_2_0.conv1x1_in.conv,2560000,0.101315625,0.10898201913085938,0.3301242480201346,0.0,5.0,0.90705,1024
DAB_Block_2.DAB_Module_2_0.conv3x1.conv,1280000,0.010106468963623046,0.0414515306497598,0.2035964897775986,-2.132568359375,2.26025390625,0.70005625,1024
