variant,checkpoint_kind,precision,layer,op_type,calls,classifications,input_elems,input_sum,input_nonzero,mean_spikes_per_input,nonzero_ratio,dense_macs_total,dense_macs_charged,sop_total,ac_charged,core_energy_pj,mem_energy_pj,neuron_energy_pj,total_energy_pj
small,fp,fp,init_conv.0.conv,conv2d,20,"{""dense"": 20}",76800000,59289405.0625,76800000,0.7719974617513021,1.0,22118400000.0,22118400000.0,0.0,0.0,22118400000.0,0.0,0.0,22118400000.0
small,fp,fp,init_conv.1.conv,conv2d,20,"{""spike"": 20}",819200000,328023152.0,234778008,0.40041888671875,0.286594248046875,235929600000.0,0.0,11808833472.0,11808833472.0,11808833472.0,0.0,0.0,11808833472.0
small,fp,fp,downsample_1.conv3x3.conv,conv2d,20,"{""dense"": 20}",819200000,175033160.0,819200000,0.213663525390625,1.0,58982400000.0,58982400000.0,0.0,0.0,58982400000.0,0.0,0.0,58982400000.0
small,fp,fp,downsample_1.conv,conv2d,20,"{""spike"": 20}",819200000,358883072.0,313196648,0.4380896875,0.382320126953125,235929600000.0,0.0,12919790592.0,12919790592.0,12919790592.0,0.0,0.0,12919790592.0
small,fp,fp,DAB_Block_1.DAB_Module_1_0.conv1x1_in.conv,conv2d,20,"{""spike"": 20}",409600000,106557920.0,84818016,0.260151171875,0.207075234375,13107200000.0,0.0,426231680.0,426231680.0,426231680.0,0.0,0.0,426231680.0
small,fp,fp,DAB_Block_1.DAB_Module_1_0.conv3x1.conv,conv2d,20,"{""spike"": 20}",204800000,75424880.0,61967912,0.368285546875,0.3025776953125,19660800000.0,0.0,905098560.0,905098560.0,905098560.0,0.0,0.0,905098560.0
small,fp,fp,DAB_Block_1.DAB_Module_1_0.conv1x3.conv,conv2d,20,"{""spike"": 20}",204800000,49417968.0,44605864,0.241298671875,0.2178020703125,19660800000.0,0.0,593015616.0,593015616.0,593015616.0,0.0,0.0,593015616.0
small,fp,fp,DAB_Block_1.DAB_Module_1_0.dconv3x1.conv,conv2d,20,"{""spike"": 20}",204800000,63102824.0,56350928,0.3081192578125,0.275151015625,614400000.0,0.0,23663559.0,23663559.0,23663559.0,0.0,0.0,23663559.0
small,fp,fp,DAB_Block_1.DAB_Module_1_0.dconv1x3.conv,conv2d,20,"{""spike"": 20}",204800000,16535728.0,13314120,0.080740859375,0.0650103515625,614400000.0,0.0,6200898.0,6200898.0,6200898.0,0.0,0.0,6200898.0
small,fp,fp,DAB_Block_1.DAB_Module_1_0.ddconv3x1.conv,conv2d,20,"{""spike"": 20}",204800000,63102824.0,56350928,0.3081192578125,0.275151015625,614400000.0,0.0,23663559.0,23663559.0,23663559.0,0.0,0.0,23663559.0
small,fp,fp,DAB_Block_1.DAB_Module_1_0.ddconv1x3.conv,conv2d,20,"{""spike"": 20}",204800000,15548824.0,14408816,0.0759219921875,0.070355546875,614400000.0,0.0,5830809.0,5830809.0,5830809.0,0.0,0.0,5830809.0
small,fp,fp,DAB_Block_1.DAB_Module_1_0.conv1x1.conv,conv2d,20,"{""dense"": 9, ""spike"": 11}",204800000,83207248.0,63666952,0.406285390625,0.3108737890625,13107200000.0,5898240000.0,342655040.0,342655040.0,6240895040.0,0.0,0.0,6240895040.0
small,fp,fp,downsample_2.conv3x3.conv,conv2d,20,"{""dense"": 20}",409600000,177049696.0,409600000,0.432250234375,1.0,58982400000.0,58982400000.0,0.0,0.0,58982400000.0,0.0,0.0,58982400000.0
small,fp,fp,downsample_2.conv,conv2d,20,"{""spike"": 20}",409600000,161026624.0,131163696,0.39313140625,0.3202238671875,235929600000.0,0.0,11593916928.0,11593916928.0,11593916928.0,0.0,0.0,11593916928.0
small,fp,fp,DAB_Block_2.DAB_Module_2_0.conv1x1_in.conv,conv2d,20,"{""spike"": 20}",102400000,26209848.0,20503904,0.255955546875,0.2002334375,3276800000.0,0.0,104839392.0,104839392.0,104839392.0,0.0,0.0,104839392.0
small,fp,fp,DAB_Block_2.DAB_Module_2_0.conv3x1.conv,conv2d,20,"{""spike"": 20}",51200000,18662368.0,15378296,0.364499375,0.30035734375,4915200000.0,0.0,223948416.0,223948416.0,223948416.0,0.0,0.0,223948416.0
small,fp,fp,DAB_Block_2.DAB_Module_2_0.conv1x3.conv,conv2d,20,"{""spike"": 20}",51200000,13299144.0,11612488,0.25974890625,0.22680640625,4915200000.0,0.0,159589728.0,159589728.0,159589728.0,0.0,0.0,159589728.0
small,fp,fp,DAB_Block_2.DAB_Module_2_0.dconv3x1.conv,conv2d,20,"{""spike"": 20}",51200000,10054520.0,8980432,0.19637734375,0.1753990625,153600000.0,0.0,3770445.0,3770445.0,3770445.0,0.0,0.0,3770445.0
small,fp,fp,DAB_Block_2.DAB_Module_2_0.dconv1x3.conv,conv2d,20,"{""spike"": 20}",51200000,340032.0,315480,0.00664125,0.00616171875,153600000.0,0.0,127512.0,127512.0,127512.0,0.0,0.0,127512.0
small,fp,fp,DAB_Block_2.DAB_Module_2_0.ddconv3x1.conv,conv2d,20,"{""spike"": 20}",51200000,10054520.0,8980432,0.19637734375,0.1753990625,153600000.0,0.0,3770445.0,3770445.0,3770445.0,0.0,0.0,3770445.0
small,fp,fp,DAB_Block_2.DAB_Module_2_0.ddconv1x3.conv,conv2d,20,"{""spike"": 20}",51200000,3720688.0,3056312,0.0726696875,0.05969359375,153600000.0,0.0,1395258.0,1395258.0,1395258.0,0.0,0.0,1395258.0
small,fp,fp,DAB_Block_2.DAB_Module_2_0.conv1x1.conv,conv2d,20,"{""dense"": 17, ""spike"": 3}",51200000,15539096.0,11604016,0.30349796875,0.2266409375,3276800000.0,2785280000.0,17626816.0,17626816.0,2802906816.0,0.0,0.0,2802906816.0
small,fp,fp,downsample_3.conv3x3.conv,conv2d,20,"{""dense"": 20}",102400000,19485256.3125,102400000,0.1902857061767578,1.0,7372800000.0,7372800000.0,0.0,0.0,7372800000.0,0.0,0.0,7372800000.0
small,fp,fp,downsample_3.conv,conv2d,20,"{""spike"": 20}",102400000,24327344.0,20015448,0.23757171875,0.195463359375,58982400000.0,0.0,1751568768.0,1751568768.0,1751568768.0,0.0,0.0,1751568768.0
small,fp,fp,DAB_Block_3.DAB_Module_3_0.conv1x1_in.conv,conv2d,20,"{""spike"": 20}",12800000,4418776.0,3279632,0.345216875,0.25622125,204800000.0,0.0,8837552.0,8837552.0,8837552.0,0.0,0.0,8837552.0
small,fp,fp,DAB_Block_3.DAB_Module_3_0.conv3x1.conv,conv2d,20,"{""spike"": 20}",6400000,3295080.0,2534872,0.51485625,0.39607375,307200000.0,0.0,19770480.0,19770480.0,19770480.0,0.0,0.0,19770480.0
small,fp,fp,DAB_Block_3.DAB_Module_3_0.conv1x3.conv,conv2d,20,"{""spike"": 20}",6400000,2014648.0,1708416,0.31478875,0.26694,307200000.0,0.0,12087888.0,12087888.0,12087888.0,0.0,0.0,12087888.0
small,fp,fp,DAB_Block_3.DAB_Module_3_0.dconv3x1.conv,conv2d,20,"{""spike"": 20}",6400000,2100968.0,1735392,0.32827625,0.271155,19200000.0,0.0,787863.0,787863.0,787863.0,0.0,0.0,787863.0
small,fp,fp,DAB_Block_3.DAB_Module_3_0.dconv1x3.conv,conv2d,20,"{""spike"": 20}",6400000,72968.0,66880,0.01140125,0.01045,19200000.0,0.0,27363.0,27363.0,27363.0,0.0,0.0,27363.0
small,fp,fp,DAB_Block_3.DAB_Module_3_0.ddconv3x1.conv,conv2d,20,"{""spike"": 20}",6400000,2100968.0,1735392,0.32827625,0.271155,19200000.0,0.0,787863.0,787863.0,787863.0,0.0,0.0,787863.0
small,fp,fp,DAB_Block_3.DAB_Module_3_0.ddconv1x3.conv,conv2d,20,"{""spike"": 20}",6400000,376152.0,311264,0.05877375,0.048635,19200000.0,0.0,141057.0,141057.0,141057.0,0.0,0.0,141057.0
small,fp,fp,DAB_Block_3.DAB_Module_3_0.conv1x1.conv,conv2d,20,"{""dense"": 7, ""spike"": 13}",6400000,2718752.0,2030080,0.424805,0.3172,204800000.0,71680000.0,6874656.0,6874656.0,78554656.0,0.0,0.0,78554656.0
small,fp,fp,transformer1.atten.reduce,linear,20,"{""dense"": 20}",14400000,1962583.3203125,14400000,0.13629050835503473,1.0,2073600000.0,2073600000.0,0.0,0.0,2073600000.0,0.0,0.0,2073600000.0
small,fp,fp,transformer1.atten.qkv,linear,20,"{""dense"": 20}",7200000,2053546.171875,7200000,0.28521474609375,1.0,3110400000.0,3110400000.0,0.0,0.0,3110400000.0,0.0,0.0,3110400000.0
small,fp,fp,transformer1.atten.proj,linear,20,"{""dense"": 20}",7200000,2256995.8515625,7200000,0.3134716460503472,1.0,2073600000.0,2073600000.0,0.0,0.0,2073600000.0,0.0,0.0,2073600000.0
