run,variant,checkpoint_kind,precision,timestep,processed_images,classification_mode,sop_method,dense_macs_charged_per_image,sops_per_image,fp_dense_macs_per_image,int4_dense_macs_per_image,fp_sops_per_image,int4_sops_per_image,source_layer_csv
qif_t1,max,fp,fp,1,20,semantic-policy,qif_cumulative_spike_count_times_one_step_dense_macs_v2,7354952064.0,0.0,7354952064.0,0.0,0.0,0.0,energy/theoretical/v2/qif_t1_dense_20_images/layer_energy.csv
qif_t1,max,qat,mixed_fp_int4,1,20,semantic-policy,qif_cumulative_spike_count_times_one_step_dense_macs_v2,7354952064.0,0.0,56072064.0,7298880000.0,0.0,0.0,energy/theoretical/v2/qif_t1_dense_20_images/layer_energy.csv
qif_t1,middle,fp,fp,1,20,semantic-policy,qif_cumulative_spike_count_times_one_step_dense_macs_v2,8712596320.0,0.0,8712596320.0,0.0,0.0,0.0,energy/theoretical/v2/qif_t1_dense_20_images/layer_energy.csv
qif_t1,middle,qat,mixed_fp_int4,1,20,semantic-policy,qif_cumulative_spike_count_times_one_step_dense_macs_v2,8712596320.0,0.0,28036320.0,8684560000.0,0.0,0.0,energy/theoretical/v2/qif_t1_dense_20_images/layer_energy.csv
qif_t1,small,fp,fp,1,20,semantic-policy,qif_cumulative_spike_count_times_one_step_dense_macs_v2,9770640768.0,0.0,9770640768.0,0.0,0.0,0.0,energy/theoretical/v2/qif_t1_dense_20_images/layer_energy.csv
qif_t1,small,qat,mixed_fp_int4,1,20,semantic-policy,qif_cumulative_spike_count_times_one_step_dense_macs_v2,9770640768.0,0.0,450000768.0,9320640000.0,0.0,0.0,energy/theoretical/v2/qif_t1_dense_20_images/layer_energy.csv
snn_t8,max,fp,fp,8,20,semantic-policy,qif_cumulative_spike_count_times_one_step_dense_macs_v2,2502801472.0,1709458466.55,2502801472.0,0.0,1709458466.55,0.0,energy/theoretical/v2/snn_t8_20_images/layer_energy.csv
snn_t8,max,qat,mixed_fp_int4,8,20,semantic-policy,qif_cumulative_spike_count_times_one_step_dense_macs_v2,2502801472.0,2004370484.1499996,56081472.0,2446720000.0,0.0,2004370484.1499996,energy/theoretical/v2/snn_t8_20_images/layer_energy.csv
snn_t8,middle,fp,fp,8,20,semantic-policy,qif_cumulative_spike_count_times_one_step_dense_macs_v2,5232363040.0,2544961281.7499995,5232363040.0,0.0,2544961281.7499995,0.0,energy/theoretical/v2/snn_t8_20_images/layer_energy.csv
snn_t8,middle,qat,mixed_fp_int4,8,20,semantic-policy,qif_cumulative_spike_count_times_one_step_dense_macs_v2,5232363040.0,2417357961.000001,28043040.0,5204320000.0,0.0,2417357961.000001,energy/theoretical/v2/snn_t8_20_images/layer_energy.csv
snn_t8,small,fp,fp,8,20,semantic-policy,qif_cumulative_spike_count_times_one_step_dense_macs_v2,9778006144.0,3362342825.500001,9778006144.0,0.0,3362342825.500001,0.0,energy/theoretical/v2/snn_t8_20_images/layer_energy.csv
snn_t8,small,qat,mixed_fp_int4,8,20,semantic-policy,qif_cumulative_spike_count_times_one_step_dense_macs_v2,9778006144.0,3033183671.8499994,450006144.0,9328000000.0,0.0,3033183671.8499994,energy/theoretical/v2/snn_t8_20_images/layer_energy.csv
