run,variant,checkpoint_kind,precision,timestep,processed_images,classification_mode,sop_method,spike_layers,input_elements,input_neuron_sites,input_spike_count_sum,input_firing_rate_sum,input_nonzero,mean_spike_count_per_input,configured_firing_rate,sop_density_per_executed_mac,nonzero_ratio,zero_ratio,source_layer_csv
qif_t1,max,fp,fp,1,20,semantic-policy,qif_cumulative_spike_count_times_one_step_dense_macs_v2,0,0,0.0,0.0,0.0,0,,,,,,energy/theoretical/v2/qif_t1_dense_20_images/layer_energy.csv
qif_t1,max,qat,mixed_fp_int4,1,20,semantic-policy,qif_cumulative_spike_count_times_one_step_dense_macs_v2,0,0,0.0,0.0,0.0,0,,,,,,energy/theoretical/v2/qif_t1_dense_20_images/layer_energy.csv
qif_t1,middle,fp,fp,1,20,semantic-policy,qif_cumulative_spike_count_times_one_step_dense_macs_v2,0,0,0.0,0.0,0.0,0,,,,,,energy/theoretical/v2/qif_t1_dense_20_images/layer_energy.csv
qif_t1,middle,qat,mixed_fp_int4,1,20,semantic-policy,qif_cumulative_spike_count_times_one_step_dense_macs_v2,0,0,0.0,0.0,0.0,0,,,,,,energy/theoretical/v2/qif_t1_dense_20_images/layer_energy.csv
qif_t1,small,fp,fp,1,20,semantic-policy,qif_cumulative_spike_count_times_one_step_dense_macs_v2,0,0,0.0,0.0,0.0,0,,,,,,energy/theoretical/v2/qif_t1_dense_20_images/layer_energy.csv
qif_t1,small,qat,mixed_fp_int4,1,20,semantic-policy,qif_cumulative_spike_count_times_one_step_dense_macs_v2,0,0,0.0,0.0,0.0,0,,,,,,energy/theoretical/v2/qif_t1_dense_20_images/layer_energy.csv
snn_t8,max,fp,fp,8,20,semantic-policy,qif_cumulative_spike_count_times_one_step_dense_macs_v2,59,5146400000,644000000.0,1145003559.0,143283406.0,939234715,0.22248631256800872,0.02781078907100109,0.02784148258977149,0.18250324790144568,0.8174967520985543,energy/theoretical/v2/snn_t8_20_images/layer_energy.csv
snn_t8,max,qat,mixed_fp_int4,8,20,semantic-policy,qif_cumulative_spike_count_times_one_step_dense_macs_v2,59,5146400000,644000000.0,1364136192.0,170633742.0,987365775,0.26506610290688637,0.033133262863360796,0.0331559424063423,0.1918556223768071,0.8081443776231929,energy/theoretical/v2/snn_t8_20_images/layer_energy.csv
snn_t8,middle,fp,fp,8,20,semantic-policy,qif_cumulative_spike_count_times_one_step_dense_macs_v2,59,4701200000,588000000.0,1376395736.0,172154943.0,1045629339,0.29277540542840125,0.036596925678550156,0.036619361652344085,0.22241753998978983,0.7775824600102101,energy/theoretical/v2/snn_t8_20_images/layer_energy.csv
snn_t8,middle,qat,mixed_fp_int4,8,20,semantic-policy,qif_cumulative_spike_count_times_one_step_dense_macs_v2,59,4701200000,588000000.0,1267279733.0,158492648.0,921337624,0.2695651605972943,0.03369564507466179,0.033713232366204375,0.19597924444822598,0.804020755551774,energy/theoretical/v2/snn_t8_20_images/layer_energy.csv
snn_t8,small,fp,fp,8,20,semantic-policy,qif_cumulative_spike_count_times_one_step_dense_macs_v2,58,7310400000,915200000.0,2660526735.0,333031551.0,2031835575,0.3639372312048588,0.04549215390060735,0.04555585891332896,0.2779376744090611,0.7220623255909389,energy/theoretical/v2/snn_t8_20_images/layer_energy.csv
snn_t8,small,qat,mixed_fp_int4,8,20,semantic-policy,qif_cumulative_spike_count_times_one_step_dense_macs_v2,58,7310400000,915200000.0,2392011547.0,299403911.0,1751448600,0.32720665722805864,0.04090083215350733,0.04095588627161304,0.2395831418253447,0.7604168581746553,energy/theoretical/v2/snn_t8_20_images/layer_energy.csv
