variant,checkpoint_kind,precision,layer,op_type,mode,classification_source,calls,classifications,observed_input_shapes,observed_output_shapes,observed_time_slices,configured_timestep,input_elems,input_neuron_sites,input_firing_rate_sum,input_positive_sum,input_nonzero,input_min,input_max,integer_like_calls,mean_spike_count_per_input,configured_firing_rate,sop_density_per_executed_mac,nonzero_ratio,dense_macs_total,dense_macs_executed,dense_macs_one_step_equivalent,dense_macs_total_per_image,dense_macs_executed_per_image,dense_macs_one_step_equivalent_per_image,dense_macs_charged,dense_macs_charged_per_image,sop_total,sop_per_image,ac_charged,core_energy_pj,core_energy_pj_per_image,mem_energy_pj,neuron_energy_pj,total_energy_pj,total_energy_pj_per_image
small,fp,fp,init_conv.0.conv,conv2d,dense,accounting_mode:all-dense,20,"{""dense"": 20}","[[1, 1, 3, 400, 400]]","[[1, 1, 32, 400, 400]]",[1],1,9600000,9600000.0,7411175.6640625,7411175.6640625,9600000,-2.1179039478302,2.640000104904175,0,,,,1.0,2764800000.0,2764800000.0,2764800000.0,138240000.0,138240000.0,138240000.0,2764800000.0,138240000.0,0.0,0.0,0.0,2764800000.0,138240000.0,0.0,0.0,2764800000.0,138240000.0
small,fp,fp,init_conv.1.conv,conv2d,dense,accounting_mode:all-dense,20,"{""dense"": 20}","[[1, 1, 32, 400, 400]]","[[1, 1, 32, 400, 400]]",[1],1,102400000,102400000.0,41002894.0,41002894.0,29347251,0.0,8.0,20,,,,0.286594248046875,29491200000.0,29491200000.0,29491200000.0,1474560000.0,1474560000.0,1474560000.0,29491200000.0,1474560000.0,0.0,0.0,0.0,29491200000.0,1474560000.0,0.0,0.0,29491200000.0,1474560000.0
small,fp,fp,downsample_1.conv3x3.conv,conv2d,dense,accounting_mode:all-dense,20,"{""dense"": 20}","[[1, 1, 32, 400, 400]]","[[1, 1, 32, 200, 200]]",[1],1,102400000,102400000.0,21879145.0625,21879145.0625,102400000,-8.531182289123535,7.253408432006836,0,,,,1.0,7372800000.0,7372800000.0,7372800000.0,368640000.0,368640000.0,368640000.0,7372800000.0,368640000.0,0.0,0.0,0.0,7372800000.0,368640000.0,0.0,0.0,7372800000.0,368640000.0
small,fp,fp,downsample_1.conv,conv2d,dense,accounting_mode:all-dense,20,"{""dense"": 20}","[[1, 1, 32, 400, 400]]","[[1, 1, 32, 400, 400]]",[1],1,102400000,102400000.0,44860384.0,44860384.0,39149581,0.0,8.0,20,,,,0.382320126953125,29491200000.0,29491200000.0,29491200000.0,1474560000.0,1474560000.0,1474560000.0,29491200000.0,1474560000.0,0.0,0.0,0.0,29491200000.0,1474560000.0,0.0,0.0,29491200000.0,1474560000.0
small,fp,fp,DAB_Block_1.DAB_Module_1_0.conv1x1_in.conv,conv2d,dense,accounting_mode:all-dense,20,"{""dense"": 20}","[[1, 1, 64, 200, 200]]","[[1, 1, 32, 200, 200]]",[1],1,51200000,51200000.0,13319740.0,13319740.0,10602252,0.0,8.0,20,,,,0.207075234375,1638400000.0,1638400000.0,1638400000.0,81920000.0,81920000.0,81920000.0,1638400000.0,81920000.0,0.0,0.0,0.0,1638400000.0,81920000.0,0.0,0.0,1638400000.0,81920000.0
small,fp,fp,DAB_Block_1.DAB_Module_1_0.conv3x1.conv,conv2d,dense,accounting_mode:all-dense,20,"{""dense"": 20}","[[1, 1, 32, 200, 200]]","[[1, 1, 32, 200, 200]]",[1],1,25600000,25600000.0,9428110.0,9428110.0,7745989,0.0,8.0,20,,,,0.3025776953125,2457600000.0,2457600000.0,2457600000.0,122880000.0,122880000.0,122880000.0,2457600000.0,122880000.0,0.0,0.0,0.0,2457600000.0,122880000.0,0.0,0.0,2457600000.0,122880000.0
small,fp,fp,DAB_Block_1.DAB_Module_1_0.conv1x3.conv,conv2d,dense,accounting_mode:all-dense,20,"{""dense"": 20}","[[1, 1, 32, 200, 200]]","[[1, 1, 32, 200, 200]]",[1],1,25600000,25600000.0,6177246.0,6177246.0,5575733,0.0,6.0,20,,,,0.2178020703125,2457600000.0,2457600000.0,2457600000.0,122880000.0,122880000.0,122880000.0,2457600000.0,122880000.0,0.0,0.0,0.0,2457600000.0,122880000.0,0.0,0.0,2457600000.0,122880000.0
small,fp,fp,DAB_Block_1.DAB_Module_1_0.dconv3x1.conv,conv2d,dense,accounting_mode:all-dense,20,"{""dense"": 20}","[[1, 1, 32, 200, 200]]","[[1, 1, 32, 200, 200]]",[1],1,25600000,25600000.0,7887853.0,7887853.0,7043866,0.0,8.0,20,,,,0.275151015625,76800000.0,76800000.0,76800000.0,3840000.0,3840000.0,3840000.0,76800000.0,3840000.0,0.0,0.0,0.0,76800000.0,3840000.0,0.0,0.0,76800000.0,3840000.0
small,fp,fp,DAB_Block_1.DAB_Module_1_0.dconv1x3.conv,conv2d,dense,accounting_mode:all-dense,20,"{""dense"": 20}","[[1, 1, 32, 200, 200]]","[[1, 1, 32, 200, 200]]",[1],1,25600000,25600000.0,2066966.0,2066966.0,1664265,0.0,6.0,20,,,,0.0650103515625,76800000.0,76800000.0,76800000.0,3840000.0,3840000.0,3840000.0,76800000.0,3840000.0,0.0,0.0,0.0,76800000.0,3840000.0,0.0,0.0,76800000.0,3840000.0
small,fp,fp,DAB_Block_1.DAB_Module_1_0.ca11.conv,conv1d,dense,accounting_mode:all-dense,20,"{""dense"": 20}","[[1, 1, 1, 32]]","[[1, 1, 1, 32]]",[1],1,640,640.0,63.76349902153015,63.76349902153015,160,0.0,1.7409249544143677,0,,,,0.25,1920.0,1920.0,1920.0,96.0,96.0,96.0,1920.0,96.0,0.0,0.0,0.0,1920.0,96.0,0.0,0.0,1920.0,96.0
small,fp,fp,DAB_Block_1.DAB_Module_1_0.ddconv3x1.conv,conv2d,dense,accounting_mode:all-dense,20,"{""dense"": 20}","[[1, 1, 32, 200, 200]]","[[1, 1, 32, 200, 200]]",[1],1,25600000,25600000.0,7887853.0,7887853.0,7043866,0.0,8.0,20,,,,0.275151015625,76800000.0,76800000.0,76800000.0,3840000.0,3840000.0,3840000.0,76800000.0,3840000.0,0.0,0.0,0.0,76800000.0,3840000.0,0.0,0.0,76800000.0,3840000.0
small,fp,fp,DAB_Block_1.DAB_Module_1_0.ddconv1x3.conv,conv2d,dense,accounting_mode:all-dense,20,"{""dense"": 20}","[[1, 1, 32, 200, 200]]","[[1, 1, 32, 200, 200]]",[1],1,25600000,25600000.0,1943603.0,1943603.0,1801102,0.0,6.0,20,,,,0.070355546875,76800000.0,76800000.0,76800000.0,3840000.0,3840000.0,3840000.0,76800000.0,3840000.0,0.0,0.0,0.0,76800000.0,3840000.0,0.0,0.0,76800000.0,3840000.0
small,fp,fp,DAB_Block_1.DAB_Module_1_0.ca22.conv,conv1d,dense,accounting_mode:all-dense,20,"{""dense"": 20}","[[1, 1, 1, 32]]","[[1, 1, 1, 32]]",[1],1,640,640.0,103.35942125320435,103.35942125320435,180,0.0,2.6767499446868896,0,,,,0.28125,1920.0,1920.0,1920.0,96.0,96.0,96.0,1920.0,96.0,0.0,0.0,0.0,1920.0,96.0,0.0,0.0,1920.0,96.0
