phase,variant,checkpoint_kind,metric,legacy,v2,v2_over_legacy,percent_change
t1_qif_dense,small,fp,dense_macs_per_image,9320640000.0,9770640768.0,1.0482800288392213,4.828002883922133
t1_qif_dense,middle,fp,dense_macs_per_image,8684560000.0,8712596320.0,1.0032282948128632,0.32282948128632416
t1_qif_dense,max,fp,dense_macs_per_image,7298880000.0,7354952064.0,1.00768228330922,0.768228330922005
t1_qif_dense,small,qat,dense_macs_per_image,9320640000.0,9770640768.0,1.0482800288392213,4.828002883922133
t1_qif_dense,middle,qat,dense_macs_per_image,8684560000.0,8712596320.0,1.0032282948128632,0.32282948128632416
t1_qif_dense,max,qat,dense_macs_per_image,7298880000.0,7354952064.0,1.00768228330922,0.768228330922005
t8_snn,small,fp,dense_macs_charged_per_image,12615552000.0,9778006144.0,0.7750755689485486,-22.492443105145142
t8_snn,small,fp,sops_per_image,3019172475.1,3362342825.500001,1.113663711904579,11.36637119045789
t8_snn,middle,fp,dense_macs_charged_per_image,5909728000.0,5232363040.0,0.8853813644215097,-11.461863557849028
t8_snn,middle,fp,sops_per_image,2486847204.95,2544961281.7499995,1.0233685755539486,2.3368575553948556
t8_snn,max,fp,dense_macs_charged_per_image,3680640000.0,2502801472.0,0.6799908363762824,-32.000916362371754
t8_snn,max,fp,sops_per_image,1590453436.15,1709458466.55,1.0748245925942193,7.482459259421925
t8_snn,small,qat,dense_macs_charged_per_image,13717888000.0,9778006144.0,0.7127923878661205,-28.720761213387945
t8_snn,small,qat,sops_per_image,2421475953.45,3033183671.8499994,1.2526177133943737,25.261771339437367
t8_snn,middle,qat,dense_macs_charged_per_image,6512096000.0,5232363040.0,0.8034837078568866,-19.65162921431134
t8_snn,middle,qat,sops_per_image,2246392068.2,2417357961.000001,1.0761068805486806,7.610688054868064
t8_snn,max,qat,dense_macs_charged_per_image,4052352000.0,2502801472.0,0.6176169967465808,-38.238300325341925
t8_snn,max,qat,sops_per_image,1824092876.15,2004370484.1499996,1.0988313755056707,9.883137550567067
