variant,checkpoint_kind,precision,layer,op_type,mode,classification_source,calls,classifications,observed_input_shapes,observed_output_shapes,observed_time_slices,configured_timestep,input_elems,input_neuron_sites,input_firing_rate_sum,input_positive_sum,input_nonzero,input_min,input_max,integer_like_calls,mean_spike_count_per_input,configured_firing_rate,sop_density_per_executed_mac,nonzero_ratio,dense_macs_total,dense_macs_executed,dense_macs_one_step_equivalent,dense_macs_total_per_image,dense_macs_executed_per_image,dense_macs_one_step_equivalent_per_image,dense_macs_charged,dense_macs_charged_per_image,sop_total,sop_per_image,ac_charged,core_energy_pj,core_energy_pj_per_image,mem_energy_pj,neuron_energy_pj,total_energy_pj,total_energy_pj_per_image
small,fp,fp,init_conv.0.conv,conv2d,dense,policy:raw_image_first_conv,20,"{""dense"": 20}","[[8, 1, 3, 400, 400]]","[[8, 1, 32, 400, 400]]",[8],8,76800000,9600000.0,7411175.6328125,59289405.0625,76800000,-2.1179039478302,2.640000104904175,0,,,,1.0,22118400000.0,22118400000.0,2764800000.0,1105920000.0,1105920000.0,138240000.0,22118400000.0,1105920000.0,0.0,0.0,0.0,22118400000.0,1105920000.0,0.0,0.0,22118400000.0,1105920000.0
small,fp,fp,init_conv.1.conv,conv2d,spike,policy:later_init_convs,20,"{""spike"": 20}","[[8, 1, 32, 400, 400]]","[[8, 1, 32, 400, 400]]",[8],8,819200000,102400000.0,41002894.0,328023152.0,234778008,0.0,8.0,20,0.40041888671875,0.05005236083984375,0.05005236083984375,0.286594248046875,235929600000.0,235929600000.0,29491200000.0,11796480000.0,11796480000.0,1474560000.0,0.0,0.0,11808833472.0,590441673.6,11808833472.0,11808833472.0,590441673.6,0.0,0.0,11808833472.0,590441673.6
small,fp,fp,downsample_1.conv3x3.conv,conv2d,dense,policy:small_middle_downsample_continuous_conv,20,"{""dense"": 20}","[[8, 1, 32, 400, 400]]","[[8, 1, 32, 200, 200]]",[8],8,819200000,102400000.0,21879145.0,175033160.0,819200000,-8.531182289123535,7.253408432006836,0,,,,1.0,58982400000.0,58982400000.0,7372800000.0,2949120000.0,2949120000.0,368640000.0,58982400000.0,2949120000.0,0.0,0.0,0.0,58982400000.0,2949120000.0,0.0,0.0,58982400000.0,2949120000.0
small,fp,fp,downsample_1.conv,conv2d,spike,policy:small_middle_downsample_event_conv,20,"{""spike"": 20}","[[8, 1, 32, 400, 400]]","[[8, 1, 32, 400, 400]]",[8],8,819200000,102400000.0,44860384.0,358883072.0,313196648,0.0,8.0,20,0.4380896875,0.0547612109375,0.0547612109375,0.382320126953125,235929600000.0,235929600000.0,29491200000.0,11796480000.0,11796480000.0,1474560000.0,0.0,0.0,12919790592.0,645989529.6,12919790592.0,12919790592.0,645989529.6,0.0,0.0,12919790592.0,645989529.6
small,fp,fp,DAB_Block_1.DAB_Module_1_0.conv1x1_in.conv,conv2d,spike,policy:encoder_and_late_decoder_dab_convs,20,"{""spike"": 20}","[[8, 1, 64, 200, 200]]","[[8, 1, 32, 200, 200]]",[8],8,409600000,51200000.0,13319740.0,106557920.0,84818016,0.0,8.0,20,0.260151171875,0.032518896484375,0.032518896484375,0.207075234375,13107200000.0,13107200000.0,1638400000.0,655360000.0,655360000.0,81920000.0,0.0,0.0,426231680.0,21311584.0,426231680.0,426231680.0,21311584.0,0.0,0.0,426231680.0,21311584.0
small,fp,fp,DAB_Block_1.DAB_Module_1_0.conv3x1.conv,conv2d,spike,policy:encoder_and_late_decoder_dab_convs,20,"{""spike"": 20}","[[8, 1, 32, 200, 200]]","[[8, 1, 32, 200, 200]]",[8],8,204800000,25600000.0,9428110.0,75424880.0,61967912,0.0,8.0,20,0.368285546875,0.046035693359375,0.046035693359375,0.3025776953125,19660800000.0,19660800000.0,2457600000.0,983040000.0,983040000.0,122880000.0,0.0,0.0,905098560.0,45254928.0,905098560.0,905098560.0,45254928.0,0.0,0.0,905098560.0,45254928.0
small,fp,fp,DAB_Block_1.DAB_Module_1_0.conv1x3.conv,conv2d,spike,policy:encoder_and_late_decoder_dab_convs,20,"{""spike"": 20}","[[8, 1, 32, 200, 200]]","[[8, 1, 32, 200, 200]]",[8],8,204800000,25600000.0,6177246.0,49417968.0,44605864,0.0,6.0,20,0.241298671875,0.030162333984375,0.030162333984375,0.2178020703125,19660800000.0,19660800000.0,2457600000.0,983040000.0,983040000.0,122880000.0,0.0,0.0,593015616.0,29650780.8,593015616.0,593015616.0,29650780.8,0.0,0.0,593015616.0,29650780.8
small,fp,fp,DAB_Block_1.DAB_Module_1_0.dconv3x1.conv,conv2d,spike,policy:encoder_and_late_decoder_dab_convs,20,"{""spike"": 20}","[[8, 1, 32, 200, 200]]","[[8, 1, 32, 200, 200]]",[8],8,204800000,25600000.0,7887853.0,63102824.0,56350928,0.0,8.0,20,0.3081192578125,0.0385149072265625,0.0385149072265625,0.275151015625,614400000.0,614400000.0,76800000.0,30720000.0,30720000.0,3840000.0,0.0,0.0,23663559.0,1183177.95,23663559.0,23663559.0,1183177.95,0.0,0.0,23663559.0,1183177.95
small,fp,fp,DAB_Block_1.DAB_Module_1_0.dconv1x3.conv,conv2d,spike,policy:encoder_and_late_decoder_dab_convs,20,"{""spike"": 20}","[[8, 1, 32, 200, 200]]","[[8, 1, 32, 200, 200]]",[8],8,204800000,25600000.0,2066966.0,16535728.0,13314120,0.0,6.0,20,0.080740859375,0.010092607421875,0.010092607421875,0.0650103515625,614400000.0,614400000.0,76800000.0,30720000.0,30720000.0,3840000.0,0.0,0.0,6200898.0,310044.9,6200898.0,6200898.0,310044.9,0.0,0.0,6200898.0,310044.9
small,fp,fp,DAB_Block_1.DAB_Module_1_0.ca11.conv,conv1d,dense,policy:eca_conv1d,20,"{""dense"": 20}","[[8, 1, 1, 32]]","[[8, 1, 1, 32]]",[8],8,5120,640.0,63.76349902153015,510.1079921722412,1280,0.0,1.7409249544143677,0,,,,0.25,15360.0,15360.0,1920.0,768.0,768.0,96.0,15360.0,768.0,0.0,0.0,0.0,15360.0,768.0,0.0,0.0,15360.0,768.0
small,fp,fp,DAB_Block_1.DAB_Module_1_0.ddconv3x1.conv,conv2d,spike,policy:encoder_and_late_decoder_dab_convs,20,"{""spike"": 20}","[[8, 1, 32, 200, 200]]","[[8, 1, 32, 200, 200]]",[8],8,204800000,25600000.0,7887853.0,63102824.0,56350928,0.0,8.0,20,0.3081192578125,0.0385149072265625,0.0385149072265625,0.275151015625,614400000.0,614400000.0,76800000.0,30720000.0,30720000.0,3840000.0,0.0,0.0,23663559.0,1183177.95,23663559.0,23663559.0,1183177.95,0.0,0.0,23663559.0,1183177.95
small,fp,fp,DAB_Block_1.DAB_Module_1_0.ddconv1x3.conv,conv2d,spike,policy:encoder_and_late_decoder_dab_convs,20,"{""spike"": 20}","[[8, 1, 32, 200, 200]]","[[8, 1, 32, 200, 200]]",[8],8,204800000,25600000.0,1943603.0,15548824.0,14408816,0.0,6.0,20,0.0759219921875,0.0094902490234375,0.0094902490234375,0.070355546875,614400000.0,614400000.0,76800000.0,30720000.0,30720000.0,3840000.0,0.0,0.0,5830809.0,291540.45,5830809.0,5830809.0,291540.45,0.0,0.0,5830809.0,291540.45
small,fp,fp,DAB_Block_1.DAB_Module_1_0.ca22.conv,conv1d,dense,policy:eca_conv1d,20,"{""dense"": 20}","[[8, 1, 1, 32]]","[[8, 1, 1, 32]]",[8],8,5120,640.0,103.35942125320435,826.8753700256348,1440,0.0,2.6767499446868896,0,,,,0.28125,15360.0,15360.0,1920.0,768.0,768.0,96.0,15360.0,768.0,0.0,0.0,0.0,15360.0,768.0,0.0,0.0,15360.0,768.0
small,fp,fp,DAB_Block_1.DAB_Module_1_0.conv1x1.conv,conv2d,spike,policy:encoder_and_late_decoder_dab_convs,20,"{""spike"": 20}","[[8, 1, 32, 200, 200]]","[[8, 1, 64, 200, 200]]",[8],8,204800000,25600000.0,10400906.0,83207248.0,63666952,0.0,11.0,20,0.406285390625,0.050785673828125,0.050785673828125,0.3108737890625,13107200000.0,13107200000.0,1638400000.0,655360000.0,655360000.0,81920000.0,0.0,0.0,665657984.0,33282899.2,665657984.0,665657984.0,33282899.2,0.0,0.0,665657984.0,33282899.2
small,fp,fp,downsample_2.conv3x3.conv,conv2d,dense,policy:small_middle_downsample_continuous_conv,20,"{""dense"": 20}","[[8, 1, 64, 200, 200]]","[[8, 1, 64, 100, 100]]",[8],8,409600000,51200000.0,22131212.0,177049696.0,409600000,-11.186620712280273,13.35705280303955,0,,,,1.0,58982400000.0,58982400000.0,7372800000.0,2949120000.0,2949120000.0,368640000.0,58982400000.0,2949120000.0,0.0,0.0,0.0,58982400000.0,2949120000.0,0.0,0.0,58982400000.0,2949120000.0
