layer,stage,disagreement_qad_mean,disagreement_ste_mean,disagreement_qad_minus_ste,disagreement_qad_minus_ste_cluster_bootstrap_95ci,disagreement_relative_reduction_fraction,disagreement_relative_reduction_cluster_bootstrap_95ci,disagreement_paired_effect_dz,disagreement_qad_lower_source_count,disagreement_qad_higher_source_count,disagreement_equal_source_count,disagreement_source_count,disagreement_two_sided_exact_sign_p,mae_qad_mean,mae_ste_mean,mae_qad_minus_ste,mae_qad_minus_ste_cluster_bootstrap_95ci,mae_relative_reduction_fraction,mae_relative_reduction_cluster_bootstrap_95ci,mae_paired_effect_dz,mae_qad_lower_source_count,mae_qad_higher_source_count,mae_equal_source_count,mae_source_count,mae_two_sided_exact_sign_p,signed_error_qad_mean,signed_error_ste_mean,signed_error_qad_minus_ste,signed_error_qad_minus_ste_cluster_bootstrap_95ci,signed_error_relative_reduction_fraction,signed_error_relative_reduction_cluster_bootstrap_95ci,signed_error_paired_effect_dz,signed_error_qad_lower_source_count,signed_error_qad_higher_source_count,signed_error_equal_source_count,signed_error_source_count,signed_error_two_sided_exact_sign_p,zero_delta_qad_mean,zero_delta_ste_mean,zero_delta_qad_minus_ste,zero_delta_qad_minus_ste_cluster_bootstrap_95ci,zero_delta_relative_reduction_fraction,zero_delta_relative_reduction_cluster_bootstrap_95ci,zero_delta_paired_effect_dz,zero_delta_qad_lower_source_count,zero_delta_qad_higher_source_count,zero_delta_equal_source_count,zero_delta_source_count,zero_delta_two_sided_exact_sign_p
DAB_Block_1.DAB_Module_1_0.bn_relu.acti,encoder_1,0.20145914239728785,0.20194922081683006,-0.0004900784195421575,"[-0.0021701801346418466, 0.0012528381279580147]",0.0024267408290063047,"[-0.006229301481441274, 0.010590818639697542]",-0.09399734178558107,19,16,0,35,0.7358788008568808,0.21222458823509666,0.21587260551742077,-0.003648017282324114,"[-0.0055821205055677685, -0.0016924131005387384]",0.016898935710625493,"[0.007923350917114064, 0.025353442633223908]",-0.6189324894678906,25,10,0,35,0.01667384780012071,-0.020872457070690114,-0.016169573114426693,-0.004702883956263425,"[-0.008310716085463382, -0.0010095678593456303]",-0.2908477498436523,"[-0.5640769546689081, -0.056884587240529715]",-0.41919202932609695,22,13,0,35,0.17546524899080396,0.01956954711919307,0.020987086537493285,-0.0014175394183002154,"[-0.0045174706324264905, 0.001633955407240198]",0.06754341131475246,"[-0.08075369238026396, 0.2059547035439689]",-0.14973747592012426,20,15,0,35,0.49955983320251107
DAB_Block_1.DAB_Module_1_0.ca11.neuron,encoder_1,0.10368094162359023,0.05572182600026853,0.0479591156233217,"[0.046267641462934675, 0.04957274070325087]",-0.8606881551780191,"[-0.9431907525977787, -0.7882535610000189]",9.3537706130098,0,35,0,35,5.820766091346741e-11,0.16317888502282493,0.0721515030645811,0.09102738195824384,"[0.08750387426662357, 0.09461775866541355]",-1.261614493003249,"[-1.3623284262312103, -1.171386021818369]",8.25681426008558,0,35,0,35,5.820766091346741e-11,0.12843098337137485,-0.0013010735331632653,0.12973205690453815,"[0.12242444790392555, 0.13684494435376945]",99.71154865407495,"[-1057.8856325290105, 1072.9115921480482]",5.940459021472571,0,35,0,35,5.820766091346741e-11,-0.05694060915682062,0.006926898904068207,-0.06386750806088883,"[-0.06689145893276718, -0.0608083730515323]",9.22021657099385,"[7.377185906402088, 12.03875413085698]",-6.793721268385379,35,0,0,35,5.820766091346741e-11
DAB_Block_1.DAB_Module_1_0.ca22.neuron,encoder_1,0.1001779133760741,0.06823304967273094,0.03194486370334318,"[0.02939970839105297, 0.0342687262530629]",-0.46817288479060587,"[-0.50459513251682, -0.42977922811246183]",4.209463119675971,0,35,0,35,5.820766091346741e-11,0.1293171588026987,0.07994657215359828,0.049370586649100434,"[0.04494692675978451, 0.05360147914087674]",-0.6175447591955113,"[-0.6686717655886623, -0.5642581110318251]",3.684887334203581,0,35,0,35,5.820766091346741e-11,0.06897098280243018,-0.013166639923469387,0.08213762272589957,"[0.07779021343863286, 0.08675668773638896]",6.2383131310130375,"[4.979007314846464, 8.147662463578552]",6.073524124052909,0,35,0,35,5.820766091346741e-11,-0.031313067404001076,0.01510892772556391,-0.046421995129564984,"[-0.049324868856865926, -0.04347498067723718]",3.072487735249417,"[2.7079030019915766, 3.513651653220881]",-5.116486078278408,35,0,0,35,5.820766091346741e-11
DAB_Block_1.DAB_Module_1_0.conv1x1.bn_prelu.acti,encoder_1,0.16342129657710125,0.1315221502710459,0.031899146306055316,"[0.029434746635128555, 0.03448072083667595]",-0.24253820546817664,"[-0.26488580997988553, -0.2200087487345537]",4.165190898669692,0,35,0,35,5.820766091346741e-11,0.17317613627232142,0.13359882286687705,0.039577313405444424,"[0.03668130965326262, 0.04298620882218801]",-0.29623998592323464,"[-0.3245486648889013, -0.2701801423822658]",4.136172806926385,0,35,0,35,5.820766091346741e-11,0.04042686233972207,-0.016404861961264765,0.056831724300986854,"[0.052527860025174546, 0.061597065555161624]",3.464322006194149,"[3.1826197047725966, 3.8247379265023356]",4.0636722145444315,0,35,0,35,5.820766091346741e-11,-0.027139340336331898,0.016056411958747314,-0.04319575229507922,"[-0.047268105821781016, -0.03932169544496005]",2.69024937863199,"[2.503943662409148, 2.919843998721109]",-3.5726635597449206,35,0,0,35,5.820766091346741e-11
DAB_Block_1.DAB_Module_1_0.conv1x1_in.bn_prelu.acti,encoder_1,0.15885562845898227,0.12490507431021752,0.03395055414876477,"[0.03271264199965595, 0.03520449000826564]",-0.27181084784789655,"[-0.2844288139207498, -0.2593484395909277]",8.954601952725,0,35,0,35,5.820766091346741e-11,0.1625221416991139,0.1258979238386144,0.036624217860499464,"[0.035426043705399105, 0.037811890290849894]",-0.2909040653239621,"[-0.30236971467196466, -0.2789083643475118]",9.92557110912526,0,35,0,35,5.820766091346741e-11,0.023188445142991405,-0.022306349553571428,0.045494794696562826,"[0.04317292230032391, 0.04767866010938339]",2.0395445963626417,"[1.9268090964784872, 2.174625744106567]",6.599356760519356,0,35,0,35,5.820766091346741e-11,-0.014142327316057999,0.024071675500134265,-0.03821400281619226,"[-0.040763886082169715, -0.03555575896427732]",1.5875090546139639,"[1.4954253743856516, 1.6892471129305477]",-4.791523724515643,35,0,0,35,5.820766091346741e-11
DAB_Block_1.DAB_Module_1_0.conv1x3.bn_prelu.acti,encoder_1,0.2630432497868555,0.18375705084250804,0.07928619894434748,"[0.077210396901685, 0.08124279316804847]",-0.431472961613326,"[-0.4486668526531029, -0.4151467095970151]",12.813835533269982,0,35,0,35,5.820766091346741e-11,0.2833202005655881,0.18594108248858754,0.09737911807700053,"[0.09484742864905008, 0.09990126999609794]",-0.5237095362342928,"[-0.5410617953936013, -0.5076206114640294]",12.475058297722104,0,35,0,35,5.820766091346741e-11,0.12062463342675887,-0.02327840704215897,0.14390304046891783,"[0.1398404637174409, 0.14810971048393864]",6.18182507971007,"[5.5763346204946105, 6.919989790261747]",11.35928899875178,0,35,0,35,5.820766091346741e-11,-0.0719917574785177,0.021412359054444146,-0.09340411653296189,"[-0.09626559665984157, -0.09018235518738253]",4.36215908277401,"[3.9492751757718705, 4.849204917291602]",-10.021953160540216,35,0,0,35,5.820766091346741e-11
DAB_Block_1.DAB_Module_1_0.conv3x1.bn_prelu.acti,encoder_1,0.1597890431508459,0.1266002230867347,0.033188820064111176,"[0.03224313071168434, 0.03420863539620537]",-0.2621545148571605,"[-0.27491288537458275, -0.24976450483333404]",11.165635204829508,0,35,0,35,5.820766091346741e-11,0.1623580128239125,0.12730746651617883,0.035050546307733625,"[0.03424774158087742, 0.035914617559537794]",-0.27532200009085306,"[-0.28680743969903233, -0.2643651858538664]",13.567791491148382,0,35,0,35,5.820766091346741e-11,0.019499307926624593,-0.028394457597677232,0.04789376552430182,"[0.045759048708126346, 0.049923370757543974]",1.6867293682066922,"[1.609624740151064, 1.7734803731648192]",7.44459175171813,0,35,0,35,5.820766091346741e-11,-0.014799559314581094,0.028628324028262618,-0.04342788334284372,"[-0.04523293034409404, -0.041514854681248325]",1.5169551420464078,"[1.438853867743556, 1.6036220964696448]",-7.611732431766531,35,0,0,35,5.820766091346741e-11
DAB_Block_1.DAB_Module_1_0.dconv1x3.bn_prelu.acti,encoder_1,0.14600613818810418,0.0932333789926826,0.052772759195421584,"[0.051607680058572775, 0.053901948675357476]",-0.5660286022623233,"[-0.5814410510043156, -0.550697558474942]",14.838953601536492,0,35,0,35,5.820766091346741e-11,0.2723246867229457,0.14288569657626204,0.1294389901466837,"[0.12513334551939279, 0.1334480799118891]",-0.9058918649537357,"[-0.9525873060594731, -0.8573655699644106]",10.222341627272224,0,35,0,35,5.820766091346741e-11,0.22285079419810688,0.025618562919575726,0.19723223127853115,"[0.1936000205377702, 0.20105100629208347]",-7.698801525194901,"[-8.90651803784754, -6.776142344808741]",17.326572819450394,0,35,0,35,5.820766091346741e-11,-0.053027772739326,0.005271493625805586,-0.05829926636513158,"[-0.059709478067098545, -0.05679689987228115]",11.059344941581397,"[8.904067491713276, 14.574636674774936]",-12.989810565090739,35,0,0,35,5.820766091346741e-11
DAB_Block_1.DAB_Module_1_0.dconv3x1.bn_prelu.acti,encoder_1,0.07680266273999731,0.054363327102913535,0.022439335637083783,"[0.02085573213404605, 0.024081350535084922]",-0.41276604712961296,"[-0.45548980417118384, -0.3741759703975406]",4.5506449967458,0,35,0,35,5.820766091346741e-11,0.08468568262285178,0.057435170789138026,0.02725051183371375,"[0.02550273367984694, 0.029047517583705357]",-0.47445687823857385,"[-0.5216680044153255, -0.4309005128999327]",5.028227534991096,0,35,0,35,5.820766091346741e-11,0.05081863741272825,0.0037703413047126743,0.04704829610801557,"[0.045447131833294165, 0.048664094948811756]",-12.478524437352224,"[-18.842634498188243, -9.299292058129607]",9.414423593069634,0,35,0,35,5.820766091346741e-11,-0.03085304534606605,1.8966937432867664e-06,-0.030854942039809347,"[-0.03218720262394266, -0.02951077427560251]",16267.751264018532,"[-880.3727745115807, 891.3085122975768]",-7.579628438111435,35,0,0,35,5.820766091346741e-11
DAB_Block_1.DAB_Module_1_0.ddconv1x3.bn_prelu.acti,encoder_1,0.1435905745317535,0.08669272576698443,0.05689784876476907,"[0.05510530044143562, 0.05867205647430519]",-0.6563162971447106,"[-0.6877976772158373, -0.6257672987277274]",10.277898783605966,0,35,0,35,5.820766091346741e-11,0.20020230129900643,0.12486394130303438,0.07533835999597208,"[0.07150782602279976, 0.078985867750193]",-0.6033636229144179,"[-0.6384525879394054, -0.5662469073340698]",6.662350592721426,0,35,0,35,5.820766091346741e-11,0.10309915205088616,-0.007851742182465092,0.11095089423335124,"[0.10620624068982444, 0.11591733582257821]",14.130735785127078,"[11.654522292275223, 18.327745697773224]",7.427589223461646,0,35,0,35,5.820766091346741e-11,-0.04428414339252148,0.013191405108754025,-0.05747554850127551,"[-0.05919095579744562, -0.05573686661712877]",4.3570452144733105,"[4.11805297346516, 4.614160454523609]",-10.873226986192574,35,0,0,35,5.820766091346741e-11
