layer,stage,disagreement_qad_mean,disagreement_ste_mean,disagreement_qad_minus_ste,disagreement_qad_minus_ste_cluster_bootstrap_95ci,disagreement_relative_reduction_fraction,disagreement_relative_reduction_cluster_bootstrap_95ci,disagreement_paired_effect_dz,disagreement_qad_lower_source_count,disagreement_qad_higher_source_count,disagreement_equal_source_count,disagreement_source_count,disagreement_two_sided_exact_sign_p,mae_qad_mean,mae_ste_mean,mae_qad_minus_ste,mae_qad_minus_ste_cluster_bootstrap_95ci,mae_relative_reduction_fraction,mae_relative_reduction_cluster_bootstrap_95ci,mae_paired_effect_dz,mae_qad_lower_source_count,mae_qad_higher_source_count,mae_equal_source_count,mae_source_count,mae_two_sided_exact_sign_p,signed_error_qad_mean,signed_error_ste_mean,signed_error_qad_minus_ste,signed_error_qad_minus_ste_cluster_bootstrap_95ci,signed_error_relative_reduction_fraction,signed_error_relative_reduction_cluster_bootstrap_95ci,signed_error_paired_effect_dz,signed_error_qad_lower_source_count,signed_error_qad_higher_source_count,signed_error_equal_source_count,signed_error_source_count,signed_error_two_sided_exact_sign_p,zero_delta_qad_mean,zero_delta_ste_mean,zero_delta_qad_minus_ste,zero_delta_qad_minus_ste_cluster_bootstrap_95ci,zero_delta_relative_reduction_fraction,zero_delta_relative_reduction_cluster_bootstrap_95ci,zero_delta_paired_effect_dz,zero_delta_qad_lower_source_count,zero_delta_qad_higher_source_count,zero_delta_equal_source_count,zero_delta_source_count,zero_delta_two_sided_exact_sign_p
DAB_Block_1.DAB_Module_1_0.bn_relu.acti,encoder_1,0.22895744140625,0.23408240234375,-0.005124960937500006,"[-0.005124960937500006, -0.005124960937500006]",0.02189383262554697,"[0.02189383262554697, 0.02189383262554697]",inf,1,0,0,1,1.0,0.2430802734375,0.25307001953125,-0.00998974609375003,"[-0.00998974609375003, -0.00998974609375003]",0.03947423765270014,"[0.03947423765270014, 0.03947423765270014]",inf,1,0,0,1,1.0,-0.0281505078125,-0.00986005859375,-0.018290449218749998,"[-0.018290449218749998, -0.018290449218749998]",-1.855004110253845,"[-1.855004110253845, -1.855004110253845]",inf,1,0,0,1,1.0,0.0275046484375,0.02061890625,0.006885742187500002,"[0.006885742187500002, 0.006885742187500002]",-0.3339528345496019,"[-0.3339528345496019, -0.3339528345496019]",inf,0,1,0,1,1.0
DAB_Block_1.DAB_Module_1_0.ca11.neuron,encoder_1,0.1164947265625,0.078720546875,0.03777417968749999,"[0.03777417968749999, 0.03777417968749999]",-0.4798515913193723,"[-0.4798515913193723, -0.4798515913193723]",inf,0,1,0,1,1.0,0.193349921875,0.102338203125,0.09101171875,"[0.09101171875, 0.09101171875]",-0.889323009109654,"[-0.889323009109654, -0.889323009109654]",inf,0,1,0,1,1.0,0.1602871875,0.00128078125,0.15900640625,"[0.15900640625, 0.15900640625]",-124.14798096864708,"[-124.14798096864708, -124.14798096864708]",inf,0,1,0,1,1.0,-0.0581634765625,0.0084005078125,-0.066563984375,"[-0.066563984375, -0.066563984375]",7.923804829507145,"[7.923804829507145, 7.923804829507145]",inf,1,0,0,1,1.0
DAB_Block_1.DAB_Module_1_0.ca22.neuron,encoder_1,0.1176488671875,0.0765408984375,0.04110796875,"[0.04110796875, 0.04110796875]",-0.5370719391746753,"[-0.5370719391746753, -0.5370719391746753]",inf,0,1,0,1,1.0,0.151314140625,0.0911139453125,0.06020019531250001,"[0.06020019531250001, 0.06020019531250001]",-0.6607132981238723,"[-0.6607132981238723, -0.6607132981238723]",inf,0,1,0,1,1.0,0.0789325,-0.0130680078125,0.09200050781250001,"[0.09200050781250001, 0.09200050781250001]",7.040132599591679,"[7.040132599591679, 7.040132599591679]",inf,0,1,0,1,1.0,-0.0418217578125,0.01444234375,-0.0562641015625,"[-0.0562641015625, -0.0562641015625]",3.895773604093865,"[3.895773604093865, 3.895773604093865]",inf,1,0,0,1,1.0
DAB_Block_1.DAB_Module_1_0.conv1x1.bn_prelu.acti,encoder_1,0.18413498046875,0.16087826171875,0.02325671874999999,"[0.02325671874999999, 0.02325671874999999]",-0.14456097735974896,"[-0.14456097735974896, -0.14456097735974896]",inf,0,1,0,1,1.0,0.197746171875,0.1653411328125,0.032405039062499974,"[0.032405039062499974, 0.032405039062499974]",-0.19598897449945443,"[-0.19598897449945443, -0.19598897449945443]",inf,0,1,0,1,1.0,0.046130234375,-8.36328125e-05,0.0462138671875,"[0.0462138671875, 0.0462138671875]",552.5805698271836,"[552.5805698271836, 552.5805698271836]",inf,0,1,0,1,1.0,-0.02714392578125,0.00188771484375,-0.029031640625,"[-0.029031640625, -0.029031640625]",15.379251120009105,"[15.379251120009105, 15.379251120009105]",inf,1,0,0,1,1.0
DAB_Block_1.DAB_Module_1_0.conv1x1_in.bn_prelu.acti,encoder_1,0.1680608203125,0.1410008984375,0.027059921875000004,"[0.027059921875000004, 0.027059921875000004]",-0.19191311668836333,"[-0.19191311668836333, -0.19191311668836333]",inf,0,1,0,1,1.0,0.1735594921875,0.142571484375,0.030988007812499996,"[0.030988007812499996, 0.030988007812499996]",-0.21735067112714834,"[-0.21735067112714834, -0.21735067112714834]",inf,0,1,0,1,1.0,0.0145671484375,-0.025200625,0.0397677734375,"[0.0397677734375, 0.0397677734375]",1.5780471094466904,"[1.5780471094466904, 1.5780471094466904]",inf,0,1,0,1,1.0,-0.002160390625,0.0279674609375,-0.030127851562500002,"[-0.030127851562500002, -0.030127851562500002]",1.077246577007041,"[1.077246577007041, 1.077246577007041]",inf,1,0,0,1,1.0
DAB_Block_1.DAB_Module_1_0.conv1x3.bn_prelu.acti,encoder_1,0.285419140625,0.2070952734375,0.07832386718750001,"[0.07832386718750001, 0.07832386718750001]",-0.3782020993885099,"[-0.3782020993885099, -0.3782020993885099]",inf,0,1,0,1,1.0,0.311390703125,0.2102276953125,0.10116300781250001,"[0.10116300781250001, 0.10116300781250001]",-0.4812068536551422,"[-0.4812068536551422, -0.4812068536551422]",inf,0,1,0,1,1.0,0.13085953125,-0.0185206640625,0.1493801953125,"[0.1493801953125, 0.1493801953125]",8.0655960719551,"[8.0655960719551, 8.0655960719551]",inf,0,1,0,1,1.0,-0.074026484375,0.0173574609375,-0.0913839453125,"[-0.0913839453125, -0.0913839453125]",5.264822178863106,"[5.264822178863106, 5.264822178863106]",inf,1,0,0,1,1.0
DAB_Block_1.DAB_Module_1_0.conv3x1.bn_prelu.acti,encoder_1,0.1757351953125,0.1442009765625,0.03153421875000001,"[0.03153421875000001, 0.03153421875000001]",-0.21868242158770929,"[-0.21868242158770929, -0.21868242158770929]",inf,0,1,0,1,1.0,0.1796421484375,0.145566171875,0.0340759765625,"[0.0340759765625, 0.0340759765625]",-0.23409268873101632,"[-0.23409268873101632, -0.23409268873101632]",inf,0,1,0,1,1.0,0.0166889453125,-0.03094203125,0.047630976562499996,"[0.047630976562499996, 0.047630976562499996]",1.5393616591509323,"[1.5393616591509323, 1.5393616591509323]",inf,0,1,0,1,1.0,-0.0092222265625,0.032188203125,-0.0414104296875,"[-0.0414104296875, -0.0414104296875]",1.286509517995966,"[1.286509517995966, 1.286509517995966]",inf,1,0,0,1,1.0
DAB_Block_1.DAB_Module_1_0.dconv1x3.bn_prelu.acti,encoder_1,0.149718515625,0.097355859375,0.052362656249999986,"[0.052362656249999986, 0.052362656249999986]",-0.5378480205110919,"[-0.5378480205110919, -0.5378480205110919]",inf,0,1,0,1,1.0,0.273297265625,0.159697578125,0.11359968750000002,"[0.11359968750000002, 0.11359968750000002]",-0.711342581608108,"[-0.711342581608108, -0.711342581608108]",inf,0,1,0,1,1.0,0.20794546875,0.016546484375,0.191398984375,"[0.191398984375, 0.191398984375]",-11.567350504025118,"[-11.567350504025118, -11.567350504025118]",inf,0,1,0,1,1.0,-0.0494751953125,0.00816421875,-0.0576394140625,"[-0.0576394140625, -0.0576394140625]",7.0600036362940415,"[7.0600036362940415, 7.0600036362940415]",inf,1,0,0,1,1.0
DAB_Block_1.DAB_Module_1_0.dconv3x1.bn_prelu.acti,encoder_1,0.077119140625,0.0627837109375,0.014335429687499998,"[0.014335429687499998, 0.014335429687499998]",-0.22833039770093627,"[-0.22833039770093627, -0.22833039770093627]",inf,0,1,0,1,1.0,0.0849390625,0.068103046875,0.016836015624999992,"[0.016836015624999992, 0.016836015624999992]",-0.24721383840434807,"[-0.24721383840434807, -0.24721383840434807]",inf,0,1,0,1,1.0,0.0415378125,0.0087209375,0.032816875,"[0.032816875, 0.032816875]",-3.762998530834558,"[-3.762998530834558, -3.762998530834558]",inf,0,1,0,1,1.0,-0.02487,-0.0013549609375,-0.0235150390625,"[-0.0235150390625, -0.0235150390625]",-17.35477268140802,"[-17.35477268140802, -17.35477268140802]",inf,1,0,0,1,1.0
DAB_Block_1.DAB_Module_1_0.ddconv1x3.bn_prelu.acti,encoder_1,0.1566227734375,0.0957395703125,0.06088320312500001,"[0.06088320312500001, 0.06088320312500001]",-0.6359251762492081,"[-0.6359251762492081, -0.6359251762492081]",inf,0,1,0,1,1.0,0.2162042578125,0.1392391796875,0.076965078125,"[0.076965078125, 0.076965078125]",-0.5527544639212596,"[-0.5527544639212596, -0.5527544639212596]",inf,0,1,0,1,1.0,0.1025359765625,-0.0059272265625,0.108463203125,"[0.108463203125, 0.108463203125]",18.299149185762207,"[18.299149185762207, 18.299149185762207]",inf,0,1,0,1,1.0,-0.04797421875,0.0120001171875,-0.0599743359375,"[-0.0599743359375, -0.0599743359375]",4.997812521362096,"[4.997812521362096, 4.997812521362096]",inf,1,0,0,1,1.0
