layer,stage,d_w4,d_a4,d_w4a4,mae_w4,mae_a4,mae_w4a4,signed_w4,signed_a4,signed_w4a4,zero_delta_w4,zero_delta_a4,zero_delta_w4a4,sat_delta_w4,sat_delta_a4,sat_delta_w4a4,delta_d_full_minus_w4,delta_d_full_minus_a4,mae_interaction,w4a4_distortion_contribution_share
DAB_Block_1.DAB_Module_1_0.bn_relu.acti,encoder_1,0.2127985819,0.1695494444,0.225514606,0.2285384197,0.179821808,0.2431523405,0.03590600037,0.01845552305,0.04252465728,-0.03072783026,-0.01533081754,-0.03675098312,2.72196395e-07,1.130857277e-07,3.757971939e-07,0.01271602417,0.05596516161,-0.1652078873,0.02540431911
DAB_Block_1.DAB_Module_1_0.ca11.neuron,encoder_1,0.05380098025,0.04551198414,0.05568884151,0.06491545252,0.05536178958,0.06760982411,-0.01845486737,0.004650081613,-0.0189502286,0.01145268537,-0.002993512221,0.01191639168,-8.841299678e-09,1.532290548e-09,-2.235163802e-08,0.00188786126,0.01017685737,-0.052667418,0.006273372378
DAB_Block_1.DAB_Module_1_0.ca22.neuron,encoder_1,0.06344477293,0.05087912479,0.06559427721,0.07260229251,0.05675185964,0.07597494932,-0.01949349248,0.003191544196,-0.01825934105,0.01752562537,-0.001781939141,0.01681916611,-9.264232009e-08,-1.132955156e-07,-1.850496778e-07,0.002149504285,0.01471515243,-0.05337920283,0.007389224047
DAB_Block_1.DAB_Module_1_0.conv1x1.bn_prelu.acti,encoder_1,0.141173986,0.1249386176,0.1461829934,0.1434183143,0.1264957175,0.1487528155,0.001582664068,0.01313053739,0.004253769259,-0.002176166462,-0.01215563013,-0.004640094921,0,0,0,0.00500900735,0.02124437574,-0.1211612163,0.01646757821
DAB_Block_1.DAB_Module_1_0.conv1x1_in.bn_prelu.acti,encoder_1,0.138480666,0.1083327787,0.1486601838,0.1396546392,0.1088140256,0.1504192126,0.02262110222,0.005814909012,0.02719385365,-0.02035091615,-0.005274893856,-0.02411382182,0,0,0,0.01017951774,0.0403274051,-0.09804945224,0.01674663479
DAB_Block_1.DAB_Module_1_0.conv1x3.bn_prelu.acti,encoder_1,0.2036192789,0.1611335787,0.2137950146,0.2072945791,0.162533992,0.217985719,0.02072080545,0.002541624869,0.02292702462,-0.01644418898,-0.001196211906,-0.0179539578,0,0,0,0.01017573575,0.05266143593,-0.151842852,0.024084102
DAB_Block_1.DAB_Module_1_0.conv3x1.bn_prelu.acti,encoder_1,0.1508243437,0.11613697,0.1591969979,0.1517758826,0.1165326346,0.1602701145,0.02432868152,0.004646009828,0.02746063884,-0.02344047334,-0.004543398432,-0.02664055805,0,0,0,0.008372654208,0.04306002791,-0.1080384027,0.01793361151
DAB_Block_1.DAB_Module_1_0.dconv1x3.bn_prelu.acti,encoder_1,0.07071052101,0.05799508715,0.07245206937,0.1053465818,0.08537882696,0.1088702002,-0.01529587958,0.00571290212,-0.01194607476,-0.0002645865853,-0.002785048528,-0.002207529808,-1.284581935e-05,-1.080958311e-05,-1.305046992e-05,0.001741548357,0.01445698222,-0.08185520857,0.008161757336
DAB_Block_1.DAB_Module_1_0.dconv3x1.bn_prelu.acti,encoder_1,0.04651627489,0.03942746974,0.04809314999,0.04831823767,0.04105481937,0.0499104138,-0.003253769789,0.002129623681,-0.002178072875,0.0008613745536,-0.001834629176,-0.0002417999849,0,0,0,0.001576875097,0.008665680255,-0.03946264324,0.005417714403
DAB_Block_1.DAB_Module_1_0.ddconv1x3.bn_prelu.acti,encoder_1,0.07696677257,0.06633674416,0.079270123,0.1083476171,0.08670776691,0.1137363002,-0.01371607056,0.003700461315,-0.0127332514,0.01224240452,-0.001946495071,0.01242080139,-1.308594086e-05,4.287055418e-05,-1.054810687e-05,0.002303350435,0.01293337884,-0.08131908381,0.008929814063
