source_id,miou_fp,miou_w4,miou_a4,miou_w4a4,miou_drop_w4a4,d_w4,mae_w4,prediction_flip_w4,d_a4,mae_a4,prediction_flip_a4,d_w4a4,mae_w4a4,prediction_flip_w4a4,d_full_minus_w4,d_full_minus_a4,mae_interaction
000061,0.7639076669,0.3350456644,0.6130085218,0.3021502032,0.4617574637,0.122941106,0.1480572145,0.4951457188,0.1013161636,0.1181500945,0.201074375,0.1264611916,0.1533526792,0.5266636563,0.003520085606,0.02514502798,-0.1128546298
000161,0.7837202848,0.3825632145,0.5998335309,0.3463543851,0.4373658997,0.1221078405,0.1467730493,0.435795375,0.1004432674,0.1165648697,0.1999742812,0.1254685248,0.1513192489,0.4515756563,0.003360684207,0.02502525739,-0.1120186702
000261,0.6949110092,0.3008696217,0.536099661,0.2756175866,0.4192934225,0.1229382391,0.1473444443,0.5250538437,0.1026908287,0.1196344569,0.2491185625,0.1269799418,0.1530910493,0.565950875,0.004041702718,0.02428911311,-0.113887852
000361,0.7045849602,0.3739627644,0.609989942,0.3125930247,0.3919919354,0.1205840825,0.1451024812,0.44493025,0.1009904892,0.1171770263,0.196714,0.1265319978,0.1538006138,0.5019013125,0.005947915346,0.02554150861,-0.1084788936
001261,0.6976170353,0.2724212796,0.467201457,0.1985864618,0.4990305735,0.1231450398,0.1501226309,0.5499160625,0.1047623252,0.1233020589,0.2663451875,0.1288806416,0.1581769089,0.6234989687,0.0057356018,0.02411831643,-0.1152477809
001361,0.7459125621,0.3618701489,0.5645123674,0.2914178646,0.4544946974,0.1191097152,0.1433039728,0.424326875,0.1008089699,0.1180118917,0.2093752812,0.1237969217,0.1502466252,0.4916633125,0.004687206462,0.02298795181,-0.1110692393
001461,0.5985429101,0.235575581,0.4842127224,0.1680801006,0.4304628095,0.1230268588,0.1496877961,0.553855625,0.1052456827,0.1239661247,0.2738651875,0.1295771425,0.1586324872,0.641720125,0.006550283679,0.02433145977,-0.1150214336
001561,0.6856764277,0.2594237761,0.4919761933,0.2363318739,0.4493445537,0.1252737215,0.1534639835,0.5608085625,0.104381787,0.1229083838,0.2925614687,0.1283127958,0.1573610951,0.58415175,0.003039074275,0.02393100884,-0.1190112721
0119_3img2031,0.4864855586,0.2987332577,0.3424740678,0.1984482929,0.2880372657,0.1109114815,0.1294162025,0.40812875,0.1023740819,0.1194022472,0.4013376316,0.1194724037,0.1415160975,0.5253838487,0.008560922245,0.01709832186,-0.1073023522
0119_4img1001,0.4473601839,0.2948103592,0.3148171411,0.2498891048,0.197471079,0.1125774263,0.1334767833,0.4565389145,0.1008584666,0.1185123141,0.4072597368,0.1207345354,0.1448173391,0.4992972039,0.008157109013,0.01987606878,-0.1071717583
