schedule_index,pair,precision,precision_trial,measure_images,active_wall_s,active_cuda_s,active_window_start_s,active_window_end_s,gross_energy_j,integrated_power_energy_j,energy_source,counter_vs_integrated_pct,active_mean_power_w,idle_pre_s,idle_post_s,idle_baseline_w,gross_j_per_image,net_energy_j,net_j_per_image,images_per_second,active_sample_count,idle_pre_sample_count,idle_post_sample_count
1,1,fp32,1,5000,4.3937103524804115,4.3936376953125,0.00031134113669395447,4.398560456931591,1330.548999786377,1154.5861367403181,nvml_total_energy_counter,15.240340884643345,262.510400466857,10.000205855816603,10.000242849811912,82.83359999999999,0.2661097999572754,966.6021539331556,0.1933204307866311,1137.990354138232,44,100,100
2,1,int8,1,5000,3.9667919725179672,3.96668701171875,0.000539872795343399,3.97179470770061,776.1670002937317,684.6481008967254,nvml_total_energy_counter,13.367290331651894,172.4009486570905,10.000310204923153,10.000227998942137,83.07507,0.15523340005874633,446.6254795013635,0.0893250959002727,1260.464383975798,40,100,100
3,2,fp32,2,5000,4.384810579940677,4.38474658203125,0.0005319081246852875,4.390133745968342,1343.4360003471375,1180.330132496426,nvml_total_energy_counter,13.81866508022962,268.89229959778083,10.000228172168136,10.000235229730606,83.26927999999998,0.2686872000694275,978.315980419095,0.195663196083819,1140.3001130479042,44,100,100
4,2,int8,2,5000,3.964724972844124,3.964654541015625,0.0005110930651426315,3.969810463488102,780.4860000610352,691.8732950183693,nvml_total_energy_counter,12.80764927345739,174.30615089751845,10.000243753194809,10.000235859304667,83.55369000000002,0.15609720001220703,449.21859874475876,0.08984371974895175,1261.1215240015033,40,100,100
5,3,fp32,3,5000,4.398532796651125,4.39844384765625,0.0005525797605514526,4.403453825041652,1338.0409998893738,1173.2605861739507,nvml_total_energy_counter,14.044656034409076,266.47442693188196,10.000211594626307,10.000294335186481,84.23167000000001,0.26760819997787477,967.5452368776791,0.19350904737553584,1136.7426892455615,44,100,100
6,3,int8,3,5000,3.9661332182586193,3.966067626953125,0.0005146041512489319,3.9717176277190447,781.8680000305176,693.6783611431485,nvml_total_energy_counter,12.713332839449798,174.67713361074556,10.000243024900556,10.00024414807558,83.90549999999999,0.1563736000061035,449.08760928591903,0.08981752185718381,1260.6737406050402,40,100,100
7,4,fp32,4,5000,4.385039195418358,4.38495458984375,0.0005396679043769836,4.39217004366219,1346.4670000076294,1182.6625371787045,nvml_total_energy_counter,13.85048208423747,269.2991977893007,10.000203298404813,10.000346522778273,84.07526,0.2692934000015259,977.7936895426401,0.195558737908528,1140.2406631220479,44,100,100
8,4,int8,4,5000,3.9644477386027575,3.9643720703125,0.0005351603031158447,3.969325402751565,763.7979998588562,694.1670585368331,nvml_total_energy_counter,10.030862234919557,174.9064617001738,10.000270873308182,10.000242482870817,84.01383,0.15275959997177124,430.7295615039997,0.08614591230079995,1261.2097143604208,40,100,100
9,5,fp32,5,5000,4.398002510890365,4.3979208984375,0.0005465131253004074,4.402928402647376,1344.3420000076294,1177.0346920520913,nvml_total_energy_counter,14.214305583792752,267.36315058298374,10.000240659341216,10.000275088474154,83.96102,0.2688684000015259,975.0812232307132,0.19501624464614264,1136.8797511185965,44,100,100
10,5,int8,5,5000,3.989981535822153,3.98991650390625,0.0005833692848682404,3.9949411302804947,779.0139999389648,691.1464302397957,nvml_total_energy_counter,12.713307318780952,173.03067766957403,10.00023932568729,10.00027809292078,83.88523999999998,0.15580279998779298,444.31344121095503,0.08886268824219101,1253.1386311214417,40,100,100
